Date,BBCA,BYAN,TPIA,BBRI,BMRI,DSSA,TLKM,ASII,BBNI,ICBP
2018-01-01,3723.92626953125,711.8245239257812,1457.917724609375,2289.992919921875,2592.60986328125,1390.0,3383.593994140625,5383.9287109375,3732.603515625,7525.1435546875
2018-01-02,3723.92626953125,718.5398559570312,1439.6934814453125,2283.701416015625,2543.998779296875,1410.0,3360.732177734375,5319.06201171875,3685.47509765625,7694.24853515625
2018-01-03,3723.92626953125,718.5398559570312,1403.245849609375,2271.11865234375,2495.38720703125,1390.0,3223.559326171875,5221.76220703125,3553.514404296875,7694.24853515625
2018-01-04,3779.189697265625,711.8245239257812,1348.573974609375,2233.371826171875,2535.89697265625,1390.0,3215.938720703125,5335.27783203125,3544.088623046875,7715.38525390625
2018-01-05,3783.44140625,715.1821899414062,1385.021728515625,2258.536865234375,2535.89697265625,1390.0,3261.662841796875,5383.9287109375,3506.3857421875,7842.21484375
2018-01-06,3783.44140625,715.1821899414062,1385.021728515625,2258.536865234375,2535.89697265625,1390.0,3261.662841796875,5383.9287109375,3506.3857421875,7842.21484375
2018-01-07,3783.44140625,715.1821899414062,1385.021728515625,2258.536865234375,2535.89697265625,1390.0,3261.662841796875,5383.9287109375,3506.3857421875,7842.21484375
2018-01-08,3800.445068359375,698.3939208984375,1397.1712646484375,2258.536865234375,2568.304443359375,1390.0,3246.421142578125,5383.9287109375,3506.3857421875,7609.6962890625
2018-01-09,3830.202880859375,705.1091918945312,1397.1712646484375,2245.954345703125,2560.20263671875,1390.0,3200.697021484375,5302.845703125,3506.3857421875,7504.005859375
2018-01-10,3817.448486328125,637.9559326171875,1360.7230224609375,2220.789794921875,2560.20263671875,1390.0,3193.07666015625,5367.71240234375,3496.959716796875,7377.17724609375
2018-01-11,3859.9599609375,708.466796875,1342.4991455078125,2227.08056640625,2616.915771484375,1390.0,3177.8349609375,5351.49560546875,3496.959716796875,7377.17724609375
2018-01-12,3813.198486328125,688.3209838867188,1342.4991455078125,2227.08056640625,2625.017822265625,1390.0,3147.352294921875,5302.845703125,3496.959716796875,7482.8681640625
2018-01-13,3813.198486328125,688.3209838867188,1342.4991455078125,2227.08056640625,2625.017822265625,1390.0,3147.352294921875,5302.845703125,3496.959716796875,7482.8681640625
2018-01-14,3813.198486328125,688.3209838867188,1342.4991455078125,2227.08056640625,2625.017822265625,1390.0,3147.352294921875,5302.845703125,3496.959716796875,7482.8681640625
2018-01-15,3821.701416015625,725.255126953125,1336.42431640625,2233.371826171875,2657.42529296875,1390.0,3139.7314453125,5302.845703125,3581.791748046875,7482.8681640625
2018-01-16,3842.95556640625,715.1821899414062,1336.42431640625,2271.11865234375,2665.52734375,1390.0,3208.317626953125,5335.27783203125,3619.49462890625,7482.8681640625
2018-01-17,3766.43701171875,715.1821899414062,1336.42431640625,2283.701416015625,2625.017822265625,1390.0,3200.697021484375,5319.06201171875,3619.49462890625,7504.005859375
2018-01-18,3838.705322265625,731.970458984375,1312.1256103515625,2277.41015625,2633.11962890625,1390.0,3177.8349609375,5383.9287109375,3581.791748046875,7504.005859375
2018-01-19,3817.448486328125,721.8975219726562,1354.648193359375,2277.41015625,2616.915771484375,1390.0,3170.21435546875,5416.36181640625,3553.514404296875,7356.0400390625
2018-01-20,3817.448486328125,721.8975219726562,1354.648193359375,2277.41015625,2616.915771484375,1390.0,3170.21435546875,5416.36181640625,3553.514404296875,7356.0400390625
2018-01-21,3817.448486328125,721.8975219726562,1354.648193359375,2277.41015625,2616.915771484375,1390.0,3170.21435546875,5416.36181640625,3553.514404296875,7356.0400390625
2018-01-22,3821.701416015625,718.5398559570312,1354.648193359375,2296.2841796875,2616.915771484375,1390.0,3147.352294921875,5351.49560546875,3544.088623046875,7356.0400390625
2018-01-23,3851.4580078125,723.5763549804688,1360.7230224609375,2466.145751953125,2649.323486328125,1390.0,3116.869384765625,5529.87841796875,3638.3466796875,7482.8681640625
2018-01-24,3838.705322265625,731.970458984375,1336.42431640625,2409.525390625,2673.62939453125,1390.0,3033.041259765625,5659.611328125,3666.62353515625,7482.8681640625
2018-01-25,3838.705322265625,733.6493530273438,1573.3360595703125,2371.778076171875,2641.221923828125,1390.0,3025.4208984375,5659.611328125,3619.49462890625,7461.72998046875
2018-01-26,3859.9599609375,733.6493530273438,1536.88818359375,2422.107421875,2657.42529296875,1390.0,3162.593994140625,5594.7451171875,3619.49462890625,7461.72998046875
2018-01-27,3859.9599609375,733.6493530273438,1536.88818359375,2422.107421875,2657.42529296875,1390.0,3162.593994140625,5594.7451171875,3619.49462890625,7461.72998046875
2018-01-28,3859.9599609375,733.6493530273438,1536.88818359375,2422.107421875,2657.42529296875,1390.0,3162.593994140625,5594.7451171875,3619.49462890625,7461.72998046875
2018-01-29,3876.964111328125,728.61279296875,1573.3360595703125,2390.65185546875,2649.323486328125,1390.0,3101.627685546875,5610.962890625,3581.791748046875,7504.005859375
2018-01-30,3876.964111328125,725.255126953125,1585.4854736328125,2340.32177734375,2608.81396484375,1390.0,3025.4208984375,5465.01171875,3478.108154296875,7356.0400390625
2018-01-31,3864.21142578125,718.5398559570312,1585.4854736328125,2327.73974609375,2641.221923828125,1390.0,3040.66259765625,5513.662109375,3544.088623046875,7377.17724609375
2018-02-01,3974.73876953125,705.1091918945312,1573.3360595703125,2327.73974609375,2657.42529296875,1390.0,3033.041259765625,5562.310546875,3515.81103515625,7356.0400390625
2018-02-02,4076.76318359375,705.1091918945312,1579.41064453125,2352.904296875,2633.11962890625,1390.0,3048.283203125,5643.39404296875,3506.3857421875,7440.59033203125
